NOP,TOR
LAL,LAC
CHI,CHA
DET,IND
CLE,ORL
MIN,BKN
MEM,MIA
BOS,PHI
WAS,DAL
NYK,SAS
OKC,UTH
SAC,PHX
DEN,POR
ATL,DET
MIL,HOU
LAC,GSW
TOR,BOS
MIN,CHA
NYK,BKN
CHI,MEM
DAL,NOP
WAS,OKC
PHX,DEN
POR,SAC
UTH,LAL
MIA,MIL
PHI,DET
ORL,ATL
BOS,NYK
IND,CLE
TOR,CHI
NOP,HOU
WAS,SAS
SAC,UTH
LAC,PHX
GSW,OKC
BKN,MEM
POR,DAL
MIA,MIN
CHA,LAL
IND,DET
CHI,NYK
PHI,ATL
ORL,TOR
OKC,HOU
CLE,MIL
GSW,NOP
POR,SAS
UTH,PHX
DEN,SAC
CHA,LAC
ATL,MIA
DAL,DEN
MEM,LAL
CHI,CLE
NYK,ORL
MIN,PHI
MIL,BOS
IND,BKN
DET,TOR
HOU,WAS
POR,OKC
LAC,UTH
CHA,SAC
PHX,GSW
MIA,ATL
DEN,NOP
SAS,LAC
HOU,BKN
CLE,IND
MIL,ORL
NYK,BOS
DET,CHI
LAL,DAL
UTH,SAC
SAS,GSW
NOP,OKC
BKN,DET
DEN,ORL
MIN,WAS
PHX,MEM
TOR,MIL
CHA,GSW
PHI,POR
CHI,IND
HOU,MIA
SAC,NYK
LAL,SAS
DAL,CLE
UTH,LAC
DET,WAS
NOP,BKN
HOU,MEM
MIL,MIN
PHI,PHX
POR,GSW
IND,CHA
BOS,CLE
SAS,ATL
LAL,CHI
ORL,OKC
MIA,DEN
NYK,DET
WAS,IND
CHI,ATL
SAC,TOR
GSW,HOU
MIN,MEM
ORL,DAL
PHI,UTH
MIL,LAC
BOS,CHA
OKC,SAS
MIA,PHX
POR,LAC
DET,IND
MEM,ORL
CLE,WAS
SAC,ATL
GSW,MIN
TOR,NOP
NYK,DAL
PHI,DEN
MIL,UTH
BKN,POR
MIA,LAL
BOS,SAS
NOP,CHA
HOU,CHI
DAL,MEM
GSW,OKC
DEN,MIN
IND,ORL
CHA,PHI
MIL,OKC
CLE,NYK
BKN,PHX
ATL,POR
TOR,LAL
MIN,DET
DAL,BOS
MEM,SAS
HOU,NOP
UTH,GSW
TOR,LAC
OKC,IND
CLE,PHI
DET,MIA
NYK,CHI
ATL,DEN
LAL,PHX
BKN,UTH
POR,SAC
MEM,CHA
PHI,ORL
WAS,BOS
LAC,HOU
SAS,MIN
GSW,LAL
TOR,POR
MIA,CLE
DAL,NYK
CHI,MIL
LAC,NOP
ATL,PHX
BKN,DEN
DET,CHA
SAS,ORL
IND,HOU
UTH,MEM
WAS,MIN
PHI,OKC
BOS,GSW
SAC,LAL
BKN,CHI
MIL,IND
CHA,NYK
NOP,MIA
HOU,MIN
TOR,DAL
POR,SAS
ATL,LAC
PHI,CLE
BOS,SAC
WAS,ORL
DEN,MEM
GSW,NOP
ATL,LAL
CLE,NYK
IND,BKN
CHA,TOR
MIL,CHI
POR,HOU
SAS,DAL
BOS,PHX
MIN,UTH
OKC,LAC
GSW,MEM
POR,NOP
PHX,SAC
OKC,LAL
NYK,PHI
SAS,WAS
MIL,ATL
CHA,BKN
CLE,MIA
ORL,TOR
GSW,DAL
DET,CHI
UTH,MIN
HOU,DEN
BOS,LAC
POR,MIL
NOP,PHX
ATL,DET
CHA,WAS
SAC,BKN
SAS,PHI
MIA,CHI
LAL,OKC
CLE,DAL
BOS,DEN
GSW,UTH
HOU,LAC
PHX,MIN
CHI,CHA
ORL,IND
TOR,ATL
SAS,NYK
MIA,PHI
POR,CLE
LAL,MEM
DET,MIL
NOP,UTH
DAL,HOU
BKN,NYK
SAC,WAS
PHX,DEN
NOP,LAC
BKN,CLE
ORL,DET
MEM,IND
MIN,ATL
SAC,BOS
CHA,MIA
PHI,TOR
POR,CHI
UTH,MIL
LAL,SAS
OKC,GSW
LAC,DAL
WAS,DEN
BKN,BOS
DET,CHA
ORL,CLE
UTH,IND
SAC,PHI
NYK,TOR
MIA,HOU
LAC,MEM
ATL,MIL
MIN,SAS
WAS,PHX
LAL,NOP
OKC,POR
CHI,GSW
BOS,BKN
CHA,DET
TOR,ORL
MIL,CLE
PHI,NYK
ATL,IND
GSW,MIA
UTH,MEM
NOP,OKC
LAC,SAS
DAL,PHX
CHI,POR
WAS,LAL
DEN,SAC
IND,PHI
ATL,HOU
CHA,MIL
MIA,BKN
BOS,NYK
MEM,MIN
DAL,LAL
SAS,DET
OKC,NOP
GSW,ORL
UTH,TOR
WAS,LAC
PHX,CHA
UTH,PHI
GSW,ATL
IND,MEM
NYK,MIL
CHI,SAC
DET,CLE
ORL,WAS
MIA,TOR
DAL,NOP
HOU,SAS
LAL,DEN
POR,LAC
GSW,CHA
MIL,DET
PHX,ORL
BKN,ATL
MIA,BOS
MEM,CHI
IND,OKC
MIN,DAL
LAL,UTH
SAC,POR
PHI,WAS
DEN,NYK
HOU,TOR
PHX,NOP
BKN,CHA
ORL,CLE
IND,DET
DEN,BOS
WAS,MIA
GSW,CHI
MIN,OKC
LAC,MIL
SAC,SAS
LAL,POR
NOP,DAL
IND,NYK
CLE,PHI
PHX,HOU
MEM,UTH
DEN,BKN
ATL,CHA
CHI,MIA
TOR,PHI
LAC,WAS
SAC,DAL
OKC,POR
MIN,LAL
LAC,IND
CLE,BOS
TOR,CHI
SAC,HOU
ORL,MIL
DET,NOP
MIN,PHX
OKC,UTH
MEM,GSW
WAS,CHA
DEN,PHI
ATL,MIA
NYK,POR
HOU,CLE
BOS,IND
LAL,ORL
LAC,TOR
CHA,BKN
ATL,CHI
UTH,MIN
MEM,PHX
NOP,MIL
OKC,SAC
NYK,GSW
PHI,BOS
CLE,SAS
DAL,DET
POR,DEN
HOU,ORL
NOP,PHI
IND,ATL
LAL,MIA
CHA,CHI
MIL,MEM
LAC,MIN
NYK,SAC
GSW,UTH
SAS,PHX
BKN,TOR
LAC,CHI
WAS,MEM
MIA,DAL
CLE,MIL
DET,HOU
OKC,DEN
ORL,NOP
CHA,IND
LAL,ATL
PHI,BKN
NYK,DEN
SAC,GSW
WAS,DET
CLE,TOR
SAS,HOU
MIA,MEM
DAL,MIL
CHI,OKC
POR,PHX
SAC,CHA
LAL,IND
ATL,NYK
BKN,NOP
ORL,UTH
PHX,LAC
CHA,CLE
TOR,DET
CHI,WAS
MIA,PHI
NOP,MIN
MEM,OKC
BOS,DAL
ORL,DEN
GSW,POR
UTH,ATL
LAL,MIL
BKN,SAS
HOU,LAC
MEM,CLE
SAC,IND
DET,BOS
WAS,TOR
NYK,MIA
DAL,PHI
PHX,OKC
MIN,DEN
ORL,POR
NOP,GSW
UTH,CHA
ATL,BKN
CHI,DET
WAS,PHI
MIL,NYK
SAC,MEM
LAC,SAS
HOU,PHX
MIN,POR
DAL,TOR
CHA,BOS
IND,MIL
LAC,OKC
DEN,LAL
ATL,CLE
PHI,DET
TOR,IND
WAS,NYK
CHI,ORL
UTH,MIA
SAS,MEM
DEN,PHX
NOP,POR
HOU,SAC
MIN,GSW
BOS,TOR
MIL,PHI
HOU,GSW
LAC,LAL
NOP,DEN
WAS,DET
NYK,BKN
MEM,OKC
SAS,DAL
MIN,SAC
POR,UTH
CLE,BOS
OKC,CHA
PHI,ORL
MIL,ATL
IND,MIA
PHX,GSW
MEM,DEN
TOR,BOS
IND,NOP
PHI,MIA
NYK,WAS
ATL,CHI
BKN,HOU
CLE,MIN
ORL,MIL
DET,SAS
DAL,GSW
PHX,SAC
LAL,POR
UTH,LAC
OKC,TOR
CHA,MEM
HOU,NOP
SAC,DEN
DAL,LAL
ATL,ORL
MIA,WAS
MIL,CHI
BKN,MIN
DET,UTH
PHX,POR
BOS,CHA
PHI,IND
LAC,SAC
CLE,TOR
DEN,HOU
GSW,SAS
DAL,OKC
ORL,WAS
POR,NYK
MIN,MIL
PHX,LAL
CHA,CLE
DEN,IND
TOR,MIA
UTH,CHI
GSW,MIN
BKN,DAL
OKC,SAS
MEM,SAC
DET,LAC
ATL,BOS
MIA,ORL
POR,WAS
PHI,HOU
NYK,PHX
NOP,LAL
MEM,LAC
TOR,BKN
UTH,ORL
IND,ATL
OKC,CLE
DEN,WAS
BOS,CHI
CHA,DAL
SAS,MIL
DET,GSW
NOP,SAC
NYK,LAC
POR,MIA
MIN,CLE
MEM,PHX
DET,LAL
IND,CHA
BKN,ORL
OKC,PHI
BOS,WAS
DEN,ATL
UTH,NOP
CHI,DAL
MIL,SAS
GSW,SAC
DET,CLE
POR,TOR
OKC,BKN
MIN,MEM
SAC,PHX
NYK,LAL
SAS,BOS
TOR,CHA
MIA,IND
WAS,ORL
HOU,ATL
DEN,DAL
CHI,NOP
NYK,UTH
MIL,GSW
CLE,DET
BOS,PHI
POR,MIN
HOU,OKC
ATL,WAS
MIA,BKN
NOP,NYK
IND,CHI
SAS,MEM
LAL,DAL
ORL,PHX
CHA,UTH
MIL,SAC
GSW,LAC
MIN,HOU
NOP,BOS
CHI,DET
LAL,OKC
PHI,DAL
CLE,DEN
MIL,POR
MIA,NYK
UTH,WAS
ATL,BKN
SAS,TOR
GSW,MEM
LAC,DEN
CHA,PHX
NOP,DET
PHI,IND
CHI,BOS
OKC,MIN
CHA,POR
ORL,SAC
CLE,LAL
PHX,ATL
UTH,BKN
HOU,MEM
NYK,MIL
DAL,GSW
CLE,LAC
DET,BOS
BKN,PHI
SAS,MIA
WAS,CHI
IND,MIN
TOR,OKC
CHA,DEN
POR,HOU
DAL,SAC
ORL,LAL
PHX,NYK
BOS,MIL
UTH,NOP
DEN,GSW
ORL,LAC
